ID,H_em,P_cl,T_ICM,T_cl,Z_cl,beta_cl,chisq,cloud_Rin,cloud_Rout,f_cl,grid_rnd_seed,id,n_HI_ICM,n_HI_cl,r_cl,r_gal,sigma_cl,sigma_i,vinf_cl,zeta_Z
97,2266.427,0.9826066,892940.3,17381.87,0.0800631788681,1.17,301.51495699,0.0,5000.0,7.42230392604,123456,97,1.921791e-10,0.4053254,62.00989,5000.0,43.62937,44.85995,244.1322,0.0437128863832
98,1463.605,0.6411031,5313618.0,14525.95,0.15753167041,1.55,119.081756209,0.0,5000.0,5.47083826732,123456,98,9.483317e-09,0.6604272,198.1158,5000.0,64.67786,27.12239,87.99078,0.0636364623622
99,2107.146,0.00325882,2277369.0,21992.9,0.0544022071656,2.11,367.878785634,0.0,5000.0,5.13008801871,123456,99,3.126247e-09,0.3719884,119.3269,5000.0,34.99036,45.58766,119.64,0.0014570694299
100,2323.756,0.1228275,3268591.0,5635.455,0.0344155068656,1.48,473.886614198,0.0,5000.0,1.1628674382,123456,100,2.677925e-07,0.2016294,197.6761,5000.0,26.74708,77.22182,626.9,0.0105184106461
101,1143.141,0.08285823,1547443.0,22739.06,0.0689919919754,1.52,3032.75008239,0.0,5000.0,6.92744916376,123456,101,2.027396e-09,0.1389731,155.696,5000.0,31.90118,50.32512,695.7058,0.0140694250109
102,1844.398,0.7937866,937953.8,35550.66,0.0381247721284,1.7,852.024347293,0.0,5000.0,4.73047348423,123456,102,1.175926e-08,0.4703855,57.50181,5000.0,25.16103,75.6348,37.70729,0.000268204718205
103,1453.188,0.5396679,11178150.0,33216.27,0.086902170416,1.11,340.892953584,0.0,5000.0,7.72496679815,123456,103,1.115542e-09,0.09091575,115.8821,5000.0,37.33935,64.20125,150.4415,0.000583727837466
104,1829.328,0.3042106,5781136.0,33209.88,0.364176116856,1.46,438.39528341,0.0,5000.0,2.91423162557,123456,104,1.347371e-09,0.3479031,76.60035,5000.0,73.36101,90.12388,757.3264,0.0068802797533
105,806.3804,0.9921154,14037930.0,29677.3,0.231058821155,1.55,875.924815796,0.0,5000.0,6.66397570348,123456,105,5.927202e-10,0.07926315,137.4353,5000.0,78.50849,56.18602,130.5918,0.0550613151818
106,1539.344,0.4858024,349473.5,15169.75,0.162749343144,1.88,301.689540646,0.0,5000.0,4.84853117399,123456,106,1.12397e-07,1.230483,109.4037,5000.0,25.02636,74.33449,121.1758,0.0612790310901
107,2085.99,0.7228979,5361234.0,40518.5,0.14791976727,1.69,223.739297257,0.0,5000.0,0.848469630404,123456,107,3.495336e-09,1.42311,74.51762,5000.0,14.82883,40.94571,349.0816,0.011216217608
108,1772.931,0.8811365,18900640.0,35897.79,0.285839643423,1.67,572.776348367,0.0,5000.0,4.89141211641,123456,108,2.388452e-07,0.6772619,119.2168,5000.0,55.42092,61.76948,658.8942,0.00489167746519
109,2092.762,0.8505973,15357220.0,43740.99,0.237589321992,2.11,328.06623928,0.0,5000.0,2.47251923465,123456,109,4.185351e-10,0.7558189,85.69039,5000.0,53.54021,17.33055,466.4212,0.000259786982312
110,918.336,0.1699082,1501396.0,8268.503,0.765173437136,1.22,328.593360704,0.0,5000.0,2.41006564062,123456,110,1.862023e-09,0.8271066,145.1845,5000.0,89.52715,68.44284,509.9855,0.00433398349506
111,1938.811,0.9501041,314867.4,21132.04,0.176303829366,1.82,935.428333263,0.0,5000.0,0.891966229585,123456,111,1.01831e-07,0.06622454,179.2723,5000.0,70.22056,54.06723,88.83988,0.0100314176675
112,642.283,0.3168917,2361358.0,5403.704,0.64649450913,1.1,260.987235329,0.0,5000.0,4.80769091669,123456,112,4.976802e-12,1.937489,152.0768,5000.0,62.83587,89.98138,581.3447,0.0026306440806
113,544.6487,0.4776799,3503554.0,5714.317,0.116994257841,1.61,878.932971795,0.0,5000.0,2.82118916903,123456,113,4.615492e-08,0.9614677,104.0239,5000.0,64.52365,29.87683,640.9238,0.000330655016598
114,2810.905,0.8451623,1648361.0,5429.508,0.119955451059,1.16,502.761242567,0.0,5000.0,6.26557723104,123456,114,4.183361e-09,0.03782806,144.249,5000.0,69.24103,90.60345,175.3882,0.0155280325057
115,1788.009,0.0411873,2386248.0,29465.17,0.0447647101859,2.43,983.256327265,0.0,5000.0,5.9710126348,123456,115,2.673745e-10,0.2282653,176.6787,5000.0,76.13366,91.19989,336.9197,0.0275966831405
116,1542.654,0.3522827,4050211.0,11467.76,0.511154929199,1.26,295.135031514,0.0,5000.0,3.93798010929,123456,116,3.477202e-08,0.743985,163.9861,5000.0,51.01985,22.79288,736.7214,0.0400931491759
117,2930.716,0.6061568,4100575.0,9099.789,0.0688859705807,1.55,467.821949653,0.0,5000.0,2.72221397309,123456,117,7.150539e-09,1.583109,76.43905,5000.0,89.25507,7.880338,557.6458,0.00271702713769
118,1685.722,0.7471489,7686218.0,31418.96,0.405413904413,2.31,627.191572144,0.0,5000.0,0.954329746884,123456,118,6.920891e-12,0.0587986,61.59852,5000.0,34.56032,33.93481,315.8238,0.00117243323493
119,785.6167,0.9442903,423455.8,12471.63,0.826477505917,1.46,738.635400848,0.0,5000.0,4.06523553714,123456,119,5.501918e-09,0.06814592,144.6014,5000.0,29.89238,16.86368,48.31341,0.000896836892266
120,1232.533,0.6794826,852292.5,47613.97,0.175902669342,1.58,902.186464054,0.0,5000.0,5.79312024161,123456,120,6.506525e-07,2.155662,51.20565,5000.0,99.37408,99.96435,600.6128,0.00293853349251
121,1496.21,0.4531582,3253224.0,34330.29,0.19613133486,2.21,242.745391866,0.0,5000.0,1.31073997702,123456,121,6.900827e-08,0.04588637,135.6907,5000.0,87.01559,12.36423,475.1587,0.0944670735915
